title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Computer Memory Type,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Hard Drive Interface,tech_Audio Details,tech_Speaker Description,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Wireless Type,tech_Number of HDMI Ports,tech_Voltage,tech_Wattage,tech_Operating System,tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_Package Dimensions,tech_Number of USB 2.0 Ports,tech_Optical Drive Type,tech_Memory Clock Speed,tech_Number of USB 3.0 Ports,tech_Power Source,tech_Average Battery Standby Life (in hours),tech_Lithium Battery Weight,tech_Number of Lithium Metal Cells,tech_Notebook Display Technology,tech_Graphics Card Ram Size,tech_Number of Ethernet Ports,tech_Front Webcam Resolution,tech_Hardware Platform,tech_Hard Disk Rotational Speed,tech_Rear Webcam Resolution,tech_Number of Microphone Ports,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Model,tech_Model Name,tech_Model Year,tech_Flash Memory Installed Size,tech_Special Features,tech_Mounting Hardware,tech_Number of items,tech_Batteries Included,tech_Batteries Required,tech_Device interface - primary,tech_Material,tech_Has Auto Focus,tech_Includes Rechargeable Battery,tech_Includes AC Adapter,tech_Programmable Buttons,tech_Imported By
"HP 15, 12th Gen Intel Core i5-1235U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Intel Iris Xe Graphics, HD Camera, Backlit Keyboard, fy5009tu","52,990",https://www.amazon.in/HP-Keyboard-15-6-inch-fy5009TU-fd0111tu/dp/B0D4M66F6R/ref=sr_1_1?dib=eyJ2IjoiMSJ9.1ANCWEr66Xy-wOdwxMqLkp3CuPgd7hLXDxrVC5MjMWRUFNJOyoULZ-txrj3zBiN36i26jiTmFD_RANUXO2YQSAIOWG4z-ssSb81QlmtF0I2KO4nshYX8rt1o0ykGGRsP00LOQuzsV0UY9qNgUU-TYx7QqZJ2IvC7MSbkUwWY0gcmlJb8oKfr0_pIV4335BJAUebtcI0hgX0ex5RNSVHp_0_NvNKpU1foyL4LYGdIn1-CCzvZLdpARzRN_v9E90ATJK-RBUHFwVxC6-w34bsOo7FpZfBICLOG0QFJdI5o42i5GATHKgZ9w3kFiuFzdtRgU5NKHmeoBG23EoJ7j8Vg62WvbHZ5E5oQ7qhNYBy8oWU.Jr8yBRJCAYqCkWHr4XlW6MhyLfF07wYn_uk_bNIhY9M&dib_tag=se&qid=1737540863&s=computers&sr=1-1,22-01-2025 16:27,HP,HP,HP 15s,"Silver, 16GB RAM",Laptop,52 Centimeters,31.2 Centimeters,39.6 Centimetres,1920 x 1080 pixel,1920 x 1080 Pixels,6.9 x 31.2 x 52 cm; 2.42 kg,1 Lithium Ion batteries required. (included),A28GDPA,Intel,Intel Core i5,4.4 GHz,1,16,DDR4,DDR4 SDRAM,16 GB,512 GB,SSD,USB,Headphones,dual speakers,Intel Iris Xe Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,Bluetooth,1,11.25 Volts,41 Watt Hours,Windows 11 Home,7 Hours,Yes,41 Watt Hours,3,"Laptop, Power Adapter, User Manual",China,2 kg 420 g,B0D4M66F6R,"3.8
250 ratings
3.8 out of 5 stars","#211 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1 in Traditional Laptops",20-May-24,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030",6.9 x 31.2 x 52 Centimeters,1 Count,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP 15, 13th Gen Intel Core i5-1334U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Iris Xe Graphics, FHD Camera, Backlit KB, fd0316TU/fd0315TU","55,490",https://www.amazon.in/HP-i5-1334U-Anti-glare-15-6-inch-Graphics/dp/B0D4LWYWF9/ref=sr_1_2?dib=eyJ2IjoiMSJ9.1ANCWEr66Xy-wOdwxMqLkp3CuPgd7hLXDxrVC5MjMWRUFNJOyoULZ-txrj3zBiN36i26jiTmFD_RANUXO2YQSAIOWG4z-ssSb81QlmtF0I2KO4nshYX8rt1o0ykGGRsP00LOQuzsV0UY9qNgUU-TYx7QqZJ2IvC7MSbkUwWY0gcmlJb8oKfr0_pIV4335BJAUebtcI0hgX0ex5RNSVHp_0_NvNKpU1foyL4LYGdIn1-CCzvZLdpARzRN_v9E90ATJK-RBUHFwVxC6-w34bsOo7FpZfBICLOG0QFJdI5o42i5GATHKgZ9w3kFiuFzdtRgU5NKHmeoBG23EoJ7j8Vg62WvbHZ5E5oQ7qhNYBy8oWU.Jr8yBRJCAYqCkWHr4XlW6MhyLfF07wYn_uk_bNIhY9M&dib_tag=se&qid=1737540863&s=computers&sr=1-2,22-01-2025 16:27,HP,HP,HP Laptop,Silver - MSO 2021,Laptop,52.3 Centimeters,31.1 Centimeters,15.6 Inches,1920 x 1080 pixel,,6.7 x 31.1 x 52.3 cm; 2.42 kg,1 Lithium Polymer batteries required. (included),A4KF0PA,Intel,Intel Core i5,4.6 GHz,1,16,DDR4,,16 GB,512 GB,SSD,USB-C,Headphones,,Intel Iris Xe Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,Bluetooth,1,240 Volts,,Windows 11 Home,9 Hours,Yes,41 Watt Hours,3,"Laptop, Power Adapter, User Manual",China,2 kg 420 g,B0D4LWYWF9,"3.6
54 ratings
3.6 out of 5 stars","#212 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2 in Traditional Laptops",20-May-24,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030",6.7 x 31.1 x 52.3 Centimeters,1 Count,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook 16"" FHD+ (1920 X 1200), 60Hz 300Nits, Core i5-12500H, (16GB RAM/512GB SSD/Intel Iris X? Graphics/Win 11/Office Home/Fingerprint/42Whr Battery/Transparent Silver/1.88Kg), X1605ZAC-MB541WS","51,990",https://www.amazon.in/ASUS-i5-12500H-Fingerprint-Transparent-X1605ZAC-MB541WS/dp/B0DGLCTZXX/ref=sr_1_3?dib=eyJ2IjoiMSJ9.1ANCWEr66Xy-wOdwxMqLkp3CuPgd7hLXDxrVC5MjMWRUFNJOyoULZ-txrj3zBiN36i26jiTmFD_RANUXO2YQSAIOWG4z-ssSb81QlmtF0I2KO4nshYX8rt1o0ykGGRsP00LOQuzsV0UY9qNgUU-TYx7QqZJ2IvC7MSbkUwWY0gcmlJb8oKfr0_pIV4335BJAUebtcI0hgX0ex5RNSVHp_0_NvNKpU1foyL4LYGdIn1-CCzvZLdpARzRN_v9E90ATJK-RBUHFwVxC6-w34bsOo7FpZfBICLOG0QFJdI5o42i5GATHKgZ9w3kFiuFzdtRgU5NKHmeoBG23EoJ7j8Vg62WvbHZ5E5oQ7qhNYBy8oWU.Jr8yBRJCAYqCkWHr4XlW6MhyLfF07wYn_uk_bNIhY9M&dib_tag=se&qid=1737540863&s=computers&sr=1-3,22-01-2025 16:27,ASUS,ASUS,ASUS Vivobook 16,Silver,Laptop,,,16 Inches,1920 x 1200 pixel,1920 x 1200 Pixels,,1 Lithium Ion batteries required. (included),X1605ZAC-MB541WS,Intel,Core i5-12500H,2.5 GHz,12,16 GB,DDR4,,16 GB,512 GB,,USB,,,Intel Iris Xe Graphics,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Bluetooth,,,,Windows 11 Home,42 Watt Hours,Yes,42 Watt Hours,3,"Laptop, Charger & User Manual",China,1 kg 880 g,B0DGLCTZXX,"3.9
41 ratings
3.9 out of 5 stars","#311 in Computers & Accessories (See Top 100 in Computers & Accessories)
#3 in Traditional Laptops",10-Sep-24,"DIGITEK (CHONGQING) LIMITED B01 SEC C AIRPORT FUNCTION ZONE LIANGLU CUNTAN FREE TRADE PORT AREA, YUBEI DISTRICT CHONGQING CHINA","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",,1 Count,Laptop,48.7 x 30.9 x 6.9 cm; 1.88 kg,1,No Optical Storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell 15 [Smartchoice] Intel Core i3-1215U Processor, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm) Display/15 Month McAfee/Black/1.69kg Thin & Light Laptop","34,990",https://www.amazon.in/Dell-Smartchoice-i3-1215U-Processor-Spill-Resistant/dp/B0BQJ68HHC/ref=sr_1_4?dib=eyJ2IjoiMSJ9.1ANCWEr66Xy-wOdwxMqLkp3CuPgd7hLXDxrVC5MjMWRUFNJOyoULZ-txrj3zBiN36i26jiTmFD_RANUXO2YQSAIOWG4z-ssSb81QlmtF0I2KO4nshYX8rt1o0ykGGRsP00LOQuzsV0UY9qNgUU-TYx7QqZJ2IvC7MSbkUwWY0gcmlJb8oKfr0_pIV4335BJAUebtcI0hgX0ex5RNSVHp_0_NvNKpU1foyL4LYGdIn1-CCzvZLdpARzRN_v9E90ATJK-RBUHFwVxC6-w34bsOo7FpZfBICLOG0QFJdI5o42i5GATHKgZ9w3kFiuFzdtRgU5NKHmeoBG23EoJ7j8Vg62WvbHZ5E5oQ7qhNYBy8oWU.Jr8yBRJCAYqCkWHr4XlW6MhyLfF07wYn_uk_bNIhY9M&dib_tag=se&qid=1737540863&s=computers&sr=1-4,22-01-2025 16:27,Dell,Dell,Vostro,i3-1215U + Black,laptop,22 Millimeters,35.8 Centimeters,15.6 Inches,1920 x 1080 pixels,1920 x 1080,23.5 x 35.8 x 2.2 cm; 1.69 kg,1 Lithium Ion batteries required. (included),Vostro 3520,Intel,Core i3 Family,0.9 GHz,1,8 GB,DDR4,,16 GB,512 GB,SSD,Solid State,Speakers,,INTEGRATED,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",,,240 Volts,65 Watts,Windows 11 Home,10 Hours,Yes,2.6 Watt Hours,3,"Laptop, Battery, AC Adapter, User Guide, Manuals",China,1 kg 690 g,B0BQJ68HHC,"3.6
830 ratings
3.6 out of 5 stars","#400 in Computers & Accessories (See Top 100 in Computers & Accessories)
#4 in Traditional Laptops",19-Dec-22,Dell India Pvt Ltd,Dell India Pvt Ltd,23.5 x 35.8 x 2.2 Centimeters,1 Count,Laptop,,1,No Optical Drive,2666 MHz,2,Battery Powered,10 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","33,490",https://www.amazon.in/Acer-5-5625U-Premium-Windows-AL15-41/dp/B0DG2GCTD7/ref=sr_1_5?dib=eyJ2IjoiMSJ9.1ANCWEr66Xy-wOdwxMqLkp3CuPgd7hLXDxrVC5MjMWRUFNJOyoULZ-txrj3zBiN36i26jiTmFD_RANUXO2YQSAIOWG4z-ssSb81QlmtF0I2KO4nshYX8rt1o0ykGGRsP00LOQuzsV0UY9qNgUU-TYx7QqZJ2IvC7MSbkUwWY0gcmlJb8oKfr0_pIV4335BJAUebtcI0hgX0ex5RNSVHp_0_NvNKpU1foyL4LYGdIn1-CCzvZLdpARzRN_v9E90ATJK-RBUHFwVxC6-w34bsOo7FpZfBICLOG0QFJdI5o42i5GATHKgZ9w3kFiuFzdtRgU5NKHmeoBG23EoJ7j8Vg62WvbHZ5E5oQ7qhNYBy8oWU.Jr8yBRJCAYqCkWHr4XlW6MhyLfF07wYn_uk_bNIhY9M&dib_tag=se&qid=1737540863&s=computers&sr=1-5,22-01-2025 16:27,Acer,Acer,Aspire Lite,Steel Gray,Laptop,,,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),AL15-41,AMD,Ryzen 5,2.3 GHz,1,16 GB,DDR4,DDR4 SDRAM,16 GB,,SSD,Solid State,Speakers,,AMD Radeon Graphics,AMD,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,Bluetooth,,240 Volts,45 Watts,Windows 11 Home,,Yes,36 Watt Hours,3,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",China,1 kg 590 g,B0DG2GCTD7,"3.8
113 ratings
3.8 out of 5 stars","#424 in Computers & Accessories (See Top 100 in Computers & Accessories)
#6 in Traditional Laptops",02-Sep-24,"ACER INDIA PRIVATE LIMITED, RS No.38/2, Sedarpet Village, Villanur Commune, Poducherry - 605111.","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13, Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",,1 Count,Laptop,48.8 x 32.2 x 8.6 cm; 1.59 kg,2,,,2,,,0.5 Grams,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg) Anti-glare, Micro-edge, 15.6-inch(39.6cm) FHD laptop, Intel UHD Graphics, HD camera, Backlit KB, fq5327tu","37,257",https://www.amazon.in/HP-i3-1215U-15-6-inch-Graphics-Speakers/dp/B0BP2M7CCS/ref=sr_1_6?dib=eyJ2IjoiMSJ9.1ANCWEr66Xy-wOdwxMqLkp3CuPgd7hLXDxrVC5MjMWRUFNJOyoULZ-txrj3zBiN36i26jiTmFD_RANUXO2YQSAIOWG4z-ssSb81QlmtF0I2KO4nshYX8rt1o0ykGGRsP00LOQuzsV0UY9qNgUU-TYx7QqZJ2IvC7MSbkUwWY0gcmlJb8oKfr0_pIV4335BJAUebtcI0hgX0ex5RNSVHp_0_NvNKpU1foyL4LYGdIn1-CCzvZLdpARzRN_v9E90ATJK-RBUHFwVxC6-w34bsOo7FpZfBICLOG0QFJdI5o42i5GATHKgZ9w3kFiuFzdtRgU5NKHmeoBG23EoJ7j8Vg62WvbHZ5E5oQ7qhNYBy8oWU.Jr8yBRJCAYqCkWHr4XlW6MhyLfF07wYn_uk_bNIhY9M&dib_tag=se&qid=1737540863&s=computers&sr=1-6,22-01-2025 16:27,HP,HP,HP Laptop,Natural Silver,Netbook,18 Millimeters,24.2 Centimeters,39.6 Centimetres,1920 x 1080 pixel,1920 x 1080 Pixels,35.9 x 24.2 x 1.8 cm; 1.7 kg,1 Lithium Ion batteries required. (included),15s-fq5007TU,Intel,Core i3,4.4 GHz,1,8 GB,DDR4,,16 GB,512 GB,SSD,USB-C,"Headphones, Speakers",Dual speakers,Intel UHD Graphics,Intel,Integrated,VRAM,Integrated,"Bluetooth, Wi-Fi",Bluetooth,1,,65 Watts,Windows 11 Home,10 Hours,Yes,41 Watt Hours,3,"Laptop, Power Adapter, User Manual",China,1 kg 700 g,B0BP2M7CCS,"4.0
1,108 ratings
4.0 out of 5 stars","#500 in Computers & Accessories (See Top 100 in Computers & Accessories)
#7 in Traditional Laptops",05-Dec-22,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,35.9 x 24.2 x 1.8 Centimeters,1 Count,Laptop,,,NO ODD,,2,Battery Powered,7 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell {Smartchoice} G15-5530 Core i5-13450HX| NVIDIA RTX 3050, 6GB (16GB RAM|1TB SSD, FHD|Window 11|MS Office' 21|15.6"" (39.62cm)|Dark Shadow Grey|2.65Kg|Gaming Laptop","77,990",https://www.amazon.in/Dell-Smartchoice-G15-5530-Gaming-i5-13450HX/dp/B0CRKXDX83/ref=sr_1_7?dib=eyJ2IjoiMSJ9.1ANCWEr66Xy-wOdwxMqLkp3CuPgd7hLXDxrVC5MjMWRUFNJOyoULZ-txrj3zBiN36i26jiTmFD_RANUXO2YQSAIOWG4z-ssSb81QlmtF0I2KO4nshYX8rt1o0ykGGRsP00LOQuzsV0UY9qNgUU-TYx7QqZJ2IvC7MSbkUwWY0gcmlJb8oKfr0_pIV4335BJAUebtcI0hgX0ex5RNSVHp_0_NvNKpU1foyL4LYGdIn1-CCzvZLdpARzRN_v9E90ATJK-RBUHFwVxC6-w34bsOo7FpZfBICLOG0QFJdI5o42i5GATHKgZ9w3kFiuFzdtRgU5NKHmeoBG23EoJ7j8Vg62WvbHZ5E5oQ7qhNYBy8oWU.Jr8yBRJCAYqCkWHr4XlW6MhyLfF07wYn_uk_bNIhY9M&dib_tag=se&qid=1737540863&s=computers&sr=1-7,22-01-2025 16:27,Dell,Dell India Pvt Ltd,Dell Laptop,Dark Shadow Gray with Black thermal shelf,Gaming,57.9 Centimeters,35.7 Centimeters,15.6 Inches,1920 x 1080 pixels,1920 x 1080,7.7 x 35.7 x 57.9 cm; 2.6 kg,1 Lithium Ion batteries required. (included),New Dell Gaming G15,Intel,Core i5,4.6 GHz,1,16,DDR5,DDR5 RAM,32 GB,1 TB,SSD,Solid State,Headphones,,"NVIDIA GeForce RTX 3050, 6 GB GDDR6",NVIDIA,Dedicated,GDDR6,PCI Express,"Bluetooth, Wi-Fi",Bluetooth,1,110 Volts,180 Watts,Windows 11 Home,7 Hours,Yes,56 Watt Hours,3,"User Manual, Laptop, Charger & Adapter",China,2 kg 600 g,B0CRKXDX83,"4.0
1,004 ratings
4.0 out of 5 stars","#585 in Computers & Accessories (See Top 100 in Computers & Accessories)
#10 in Traditional Laptops",05-Jan-24,Dell India Pvt Ltd,Dell India Pvt Ltd,7.7 x 35.7 x 57.9 Centimeters,1 Piece,Laptop,,,No Optical Device,4800 MHz,4,,,,,led,6 GB,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15.6"" (39.62cm) FHDIPS300 Nits Thin&Light Laptop (16GB/512GB SSD/Intel UHDGraphics/Win11/Office Home 2024/1YrADP Free/ARCTIC-Grey/1.6Kg), 83EM00GTIN","66,490",https://www.amazon.in/Lenovo-IdeaPad-i7-13620H-Graphics-83EM00GTIN/dp/B0DL5N2TFC/ref=sr_1_8?dib=eyJ2IjoiMSJ9.1ANCWEr66Xy-wOdwxMqLkp3CuPgd7hLXDxrVC5MjMWRUFNJOyoULZ-txrj3zBiN36i26jiTmFD_RANUXO2YQSAIOWG4z-ssSb81QlmtF0I2KO4nshYX8rt1o0ykGGRsP00LOQuzsV0UY9qNgUU-TYx7QqZJ2IvC7MSbkUwWY0gcmlJb8oKfr0_pIV4335BJAUebtcI0hgX0ex5RNSVHp_0_NvNKpU1foyL4LYGdIn1-CCzvZLdpARzRN_v9E90ATJK-RBUHFwVxC6-w34bsOo7FpZfBICLOG0QFJdI5o42i5GATHKgZ9w3kFiuFzdtRgU5NKHmeoBG23EoJ7j8Vg62WvbHZ5E5oQ7qhNYBy8oWU.Jr8yBRJCAYqCkWHr4XlW6MhyLfF07wYn_uk_bNIhY9M&dib_tag=se&qid=1737540863&s=computers&sr=1-8,22-01-2025 16:27,Lenovo,Lenovo,IdeaPad Slim,Arctic Grey,Thin & Light,,,15 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,1 Lithium Polymer batteries required. (included),15IRH8,Intel,Intel Core i7,2.4 GHz,10,,Lpddr 5,DDR5 RAM,16 GB,512 GB,SSD,PCIE x 4,"Headphones, Speakers","User-facing stereo speakers, 1.5W x2, optimized with Dolby Audio",Intel UHD Graphics,Intel,Integrated,Shared,Integrated,Wi-Fi,,1,,,Windows 11 Home,7 Hours,Yes,47 Watt Hours,4,"User Guide, Laptop, Power Adapter",China,1 kg 620 g,B0DL5N2TFC,"3.9
713 ratings
3.9 out of 5 stars","#702 in Computers & Accessories (See Top 100 in Computers & Accessories)
#14 in Traditional Laptops",28-Oct-24,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",,1 Count,Laptop,48.5 x 33.29 x 7.4 cm; 1.62 kg,,No Optical Drive,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue, 2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Gaming Laptop, Backlit kb, Enhanced Cooling, fb0106AX/Fb0112AX","57,990",https://www.amazon.in/HP-GeForce-Graphics-Response-15-fb0106AX/dp/B0BWS9YNCX/ref=sr_1_9?dib=eyJ2IjoiMSJ9.1ANCWEr66Xy-wOdwxMqLkp3CuPgd7hLXDxrVC5MjMWRUFNJOyoULZ-txrj3zBiN36i26jiTmFD_RANUXO2YQSAIOWG4z-ssSb81QlmtF0I2KO4nshYX8rt1o0ykGGRsP00LOQuzsV0UY9qNgUU-TYx7QqZJ2IvC7MSbkUwWY0gcmlJb8oKfr0_pIV4335BJAUebtcI0hgX0ex5RNSVHp_0_NvNKpU1foyL4LYGdIn1-CCzvZLdpARzRN_v9E90ATJK-RBUHFwVxC6-w34bsOo7FpZfBICLOG0QFJdI5o42i5GATHKgZ9w3kFiuFzdtRgU5NKHmeoBG23EoJ7j8Vg62WvbHZ5E5oQ7qhNYBy8oWU.Jr8yBRJCAYqCkWHr4XlW6MhyLfF07wYn_uk_bNIhY9M&dib_tag=se&qid=1737540863&s=computers&sr=1-9,22-01-2025 16:27,HP,HP,Victus Gaming Laptop,Performance Blue,Netbook,52.2 Centimeters,30.9 Centimeters,39.6 Centimetres,1920 x 1080 pixel,1920x1080 Pixels,7.2 x 30.9 x 52.2 cm; 3.42 kg,1 Lithium Ion batteries required. (included),15-fb0106AX/15-fb0112ax,AMD,AMD Ryzen 5 5600X,4.2 GHz,1,16 GB,DDR4,,16 GB,512 GB,SSD,Solid State,Headphones,"Audio by B&O, Dual speakers",NVIDIA GeForce RTX 3050,AMD,Dedicated,GDDR6,PCI Express,Wi-Fi,Bluetooth,1,,52.5 Watt Hours,Windows 11 Home,10 Hours,Yes,52.5 Watt Hours,3,"Laptop, Power Adapter, User Manual",China,3 kg 420 g,B0BWS9YNCX,"4.2
187 ratings
4.2 out of 5 stars","#526 in Computers & Accessories (See Top 100 in Computers & Accessories)
#8 in Traditional Laptops",24-Feb-23,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",7.2 x 30.9 x 52.2 Centimeters,1 Count,Laptop,,,,3200 MHz,2,ac,,,,,4 GB,,720 Pixels,,,,,,,,,,,,,,,,,,,,,,,,
"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch (39.6cm) FHD Laptop, Intel UHD Graphics, HD Camera, Dual Speakers, fy5011TU","37,990",https://www.amazon.in/HP-i3-1215U-Anti-Glare-15-6-inch-Graphics/dp/B0D4LZMJ5Z/ref=sr_1_10?dib=eyJ2IjoiMSJ9.1ANCWEr66Xy-wOdwxMqLkp3CuPgd7hLXDxrVC5MjMWRUFNJOyoULZ-txrj3zBiN36i26jiTmFD_RANUXO2YQSAIOWG4z-ssSb81QlmtF0I2KO4nshYX8rt1o0ykGGRsP00LOQuzsV0UY9qNgUU-TYx7QqZJ2IvC7MSbkUwWY0gcmlJb8oKfr0_pIV4335BJAUebtcI0hgX0ex5RNSVHp_0_NvNKpU1foyL4LYGdIn1-CCzvZLdpARzRN_v9E90ATJK-RBUHFwVxC6-w34bsOo7FpZfBICLOG0QFJdI5o42i5GATHKgZ9w3kFiuFzdtRgU5NKHmeoBG23EoJ7j8Vg62WvbHZ5E5oQ7qhNYBy8oWU.Jr8yBRJCAYqCkWHr4XlW6MhyLfF07wYn_uk_bNIhY9M&dib_tag=se&qid=1737540863&s=computers&sr=1-10,22-01-2025 16:27,HP,HP,HP Laptop,"Silver, 512GB SSD",Laptop,52.1 Centimeters,30.7 Centimeters,15.6 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,6.9 x 30.7 x 52.1 cm; 2.39 kg,1 Lithium Ion batteries required. (included),A4KF2PA,Intel,Intel Core i3,4.4 GHz,1,8,DDR4,,8 GB,512 GB,SSD,USB-C,Headphones,,Intel UHD Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,Bluetooth,1,,,Windows 11 Home,,Yes,41 Watt Hours,3,"Laptop, Power Adapter, User Manual",China,2 kg 390 g,B0D4LZMJ5Z,"3.9
167 ratings
3.9 out of 5 stars","#776 in Computers & Accessories (See Top 100 in Computers & Accessories)
#17 in Traditional Laptops",20-May-24,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030",6.9 x 30.7 x 52.1 Centimeters,1 Count,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
