title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Hard Disk Rotational Speed,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Optical Drive Type,tech_Power Source,tech_Hardware Platform,tech_Operating System,tech_Are Batteries Included,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Item Dimensions LxWxH,info_Net Quantity,tech_Colour,tech_Package Dimensions,tech_Batteries,tech_Number of HDMI Ports,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,info_Packer,info_Importer,info_Generic Name,tech_Graphics Coprocessor,tech_Voltage,tech_Wattage,tech_Average Battery Life (in hours),tech_Computer Memory Type,tech_Memory Clock Speed,tech_Hard Drive Interface,tech_Wireless Type,tech_Lithium Battery Weight,tech_Speaker Description,tech_Number of Ethernet Ports,tech_Rear Webcam Resolution,tech_Average Battery Standby Life (in hours),tech_Notebook Display Technology,tech_Number of Lithium Metal Cells,tech_Number of Audio-out Ports,tech_Number of Microphone Ports,tech_Item part number,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Processor Socket,tech_Controller Type,tech_Screen Size,tech_Hardware Interface,tech_Item dimensions L x W x H,tech_Number of Batteries,tech_Display Type,tech_Material
"(Refurbished) HP Probook Laptop 640G3 7th Generation Intel Core i5-7200u Processor , 4 GB Ram & 128 GB SSD, 14 Inches Notebook Computer","16,990",https://www.amazon.in/HP-Generation-i5-7200u-Processor-Notebook/dp/B0BDVQDYRC/ref=sr_1_889?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-889&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,HP,HP,640G3-cr,Notebook,2.5 Centimeters,34.5 Centimeters,14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,24 x 34.5 x 2.5 cm; 1.8 kg,640G3-i5-4-128-cr,Intel,Core i5 7200U,2.5 GHz,1,4 GB,DDR4,64 GB,128 GB,SSD,5400 RPM,Headphones,Intel,Integrated,DDR SDRAM,4 GB,Integrated,Wi-Fi,2,4,DVD-R,Battery Powered,Windows,Windows 10 Pro,No,"Laptop, Charger",India,1 kg 800 g,B0BDVQDYRC,"5.0
1 rating
5.0 out of 5 stars","#48,281 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,426 in Traditional Laptops",10 September 2022,24 x 34.5 x 2.5 Centimeters,1.00 count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Dell Latitude 5290 8th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/12.5"" (31.8 cm) HD Display/Windows 11/MS Office/WiFi/BT/Intel UHD Graphics)","18,300",https://www.amazon.in/Refurbished-Dell-Latitude-Display-Graphics/dp/B0CY5F5PP1/ref=sr_1_890?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-890&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Dell,Dell,Dell Latitude,Standard Laptop,,,12.5 Inches,1366 x 768,1366 x 768 Pixels,,,Intel,Intel Core i5,1.6 GHz,1,,DDR4,16 GB,256 GB,SSD,,Headphones,Intel,Integrated,Shared,,,"Bluetooth, Wi-Fi",,,,,,Windows,Yes,"Laptop, Power Cord, Battery",,1 kg 500 g,B0CY5F5PP1,"3.4
95 ratings
3.4 out of 5 stars","#41,400 in Computers & Accessories (See Top 100 in Computers & Accessories)
#54 in Top Rated Renewed Products
#1,189 in Traditional Laptops",15 March 2024,,1.00 count,Black,50.1 x 29.7 x 8.2 cm; 1.5 kg,1 Lithium Ion batteries required. (included),1,55 Watt Hours,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Chromebook Plus x360 14, Intel Core i3-N305, ChromeOS, 14-inch (35.6 cm), FHD, Touchscreen, 8GB LPDDR5, 256GB UFS, Intel UHD Graphics, 1080p FHD Camera w/Privacy Shutter (Silver, 1.37 kg) cd0014TU","50,990",https://www.amazon.in/HP-Chromebook-ChromeOS-Touchscreen-Graphics/dp/B0D62JVCGT/ref=sr_1_891?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-891&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,HP,HP,14b-cd0014TU,"Laptop, Chromebook",44.9 Centimeters,31.1 Centimeters,35.6 Centimetres,1920 x 1080 pixel,,7 x 31.1 x 44.9 cm; 2.13 kg,A95C6PA,Intel,Intel Core i3,3.8 GHz,1,,Lpddr 5,8 GB,,,,,Intel,Integrated,GDDR5,8 GB,Integrated,"Bluetooth, Wi-Fi",,,,,,Chrome OS,Yes,"Laptop, Charger, User Manual",China,2 kg 130 g,B0D62JVCGT,"3.0
2 ratings
3.0 out of 5 stars","#51,224 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,528 in Traditional Laptops",4 June 2024,7 x 31.1 x 44.9 Centimeters,1 Count,Chromebook x360 i3 N305 8GB 256GB,,1 Lithium Polymer batteries required. (included),,47 Watt Hours,2,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Katana 17, Intel 13th Gen. i7-13620H, 44CM FHD 144Hz Gaming Laptop (8GBx2/1TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4050, 6GB GDDR6/Black/2.6Kg), B13VEK-254IN","97,990",https://www.amazon.in/MSI-i7-13620H-Windows-GeForce-B13VEK-254IN/dp/B0BTVYS8Y5/ref=sr_1_892?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-892&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,MSI,MSI,Katana 17 B13VEK-254IN,Laptop,25 Millimeters,2.73 Meters,44 Centimetres,1920 x 1080 pixels,,39.8 x 273 x 2.5 cm; 2.6 kg,Katana 17 B13VEK-254IN,Intel,Intel Core i7,4.9 GHz,1,16 GB,DDR5,64 GB,1 TB,SSD,,"Headphones, Speakers",NVIDIA,Dedicated,GDDR6,6 GB,PCI Express,"Bluetooth, Wi-Fi",1,3,,Battery Powered,"PC, Linux",Windows 11 Home,Yes,"Laptop, Power Adapter",China,2 kg 600 g,B0BTVYS8Y5,"4.3
15 ratings
4.3 out of 5 stars","#42,511 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,226 in Traditional Laptops",4 February 2023,39.8 x 273 x 2.5 Centimeters,1 Piece,Black,,1 Lithium Polymer batteries required. (included),1,53.5 Watt Hours,3,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",Laptop,NVIDIA GeForce RTX 4050,10.6 Volts,53.5 Watt Hours,6 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Modern 14 H, Intel Core I9 13900H,36Cm Laptop(16GB/1Tb NVME SSD/Windows 11 Home/Iris Xe/Classic Black/1.6Kg), D13MG-071IN","71,990",https://www.amazon.in/Modern-13900H-Windows-Classic-D13MG-071IN/dp/B0D22KDRLM/ref=sr_1_893?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-893&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,MSI,MSI,Modern 14 H,Laptop,42.8 Centimeters,28.5 Centimeters,36 Centimetres,1920 x 1200 pixel,,8.6 x 28.5 x 42.8 cm; 1.6 kg,,Intel,Intel Core i9,1.9 GHz,1,16,DDR4,64 GB,1 TB,SSD,,"Headphones, Speakers",Intel,Integrated,Shared,,Integrated,Wi-Fi,,3,,,,Windows 11 Home,Yes,"Laptop, Power Adapter, Battery",,1 kg 600 g,B0D22KDRLM,"3.1
2 ratings
3.1 out of 5 stars","#44,303 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,298 in Traditional Laptops",18 April 2024,8.6 x 28.5 x 42.8 Centimeters,1 Count,Classic Black,,1 Lithium Polymer batteries required. (included),,53.8 Watt Hours,3,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China",Laptop,Intel Iris Xe Graphics,,,14 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell (Renewed) Latitude Laptop E7480 Intel Core I5-6200U Processor 6Th Gen, 8 Gb Ram & 1Tb Ssd, 14.1 Inches (Ultra Slim & Feather Light 1.37Kg) Notebook Computer - Windows 10 Pro","21,500",https://www.amazon.in/Refurbished-Dell-Latitude-Laptop-E7480/dp/B09KH6P2ZS/ref=sr_1_894?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-894&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Dell,Dell,E7480,Notebook,2 Centimeters,23.5 Centimeters,14.1 Inches,1600x900,HD (1366 X 768) Pixels,34 x 23.5 x 2 cm; 1.37 kg,E7480-i5-8-1TB-cr,Intel,Core i5-6260U,2.4 GHz,1,8 GB,DDR4,8 GB,1 TB,SSD,5400 RPM,Speakers,Intel,Integrated,DDR SDRAM,,Integrated,Wi-Fi,2,1,No Optical Drive,Battery Powered,Windows,Windows 10 Pro,No,"laptop, charger",China,1 kg 370 g,B09KH6P2ZS,"1.0
1 rating
1.0 out of 5 stars","#43,197 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,256 in Traditional Laptops",27 October 2021,34 x 23.5 x 2 Centimeters,1.00 count,,,,,,,,,notebook,intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo ThinkPad X280 Laptop: Core i5-8350U, 256GB SSD, 8GB RAM, Windows 10 Pro, Backlit Keyboard, Fingerprint Reader","16,999",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-X280-Laptop/dp/B092LNNP2R/ref=sr_1_895?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-895&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,Lenovo,Lenovo,X280,256,4 Inches,15 Inches,12.5 Inches,LCD,Adapter,40.64 x 38.1 x 10.16 cm; 1.88 kg,20KFS1TE00-cr,Intel,Core i5 8400,1.9 GHz,4,8 GB,DDR4,16 GB,256 GB,SSD,5400 RPM,Headphones,Intel,Integrated,PC 2700 DDR Memory,,Integrated,Intel Core i5-8250U,1,1,No,Battery Powered,Windows,Windows 11 Pro,Yes,Adapter,India,1 kg 880 g,B092LNNP2R,"3.3
11 ratings
3.3 out of 5 stars","#51,128 in Computers & Accessories (See Top 100 in Computers & Accessories)
#153 in 4 star rated refurbished products
#1,524 in Traditional Laptops",8 July 2023,40.6 x 38.1 x 10.2 Centimeters,1.00 count,Black,,1 Lithium Ion batteries required. (included),1,4.9 Watt Hours,2,"IT Refurb India, Mumbai",,laptop,Intel UHD Graphics 620,240 Volts,4.9 Watts,15 Hours,DDR4 SDRAM,3.6 GHz,Solid State,802.11ac,100 Grams,,,,,,,,,,,,,,,,,,,,,
"MSI Thin 15, Intel 13th Gen. Core i7 13620H, 40CM Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX 4050, 6GB GDDR6/Cosmos Gray/1.86Kg), B13VE-2089IN","87,790",https://www.amazon.in/MSI-13620H-Windows-GeForce-B13VE-2089IN/dp/B0D2KPF1L3/ref=sr_1_897?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-897&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,MSI,MSI,Thin 15,Laptop,46.7 Centimeters,32.4 Centimeters,40 Centimetres,1920 x 1080 pixel,,8.7 x 32.4 x 46.7 cm; 1.86 kg,,Intel,Intel Core i7,1.8 GHz,1,16,DDR4,64 GB,,SSD,,"Headphones, Speakers",Intel,Dedicated,GDDR6,6 GB,PCI Express,Wi-Fi,,3,,,,Windows 11 Home,Yes,Laptop,China,1 kg 860 g,B0D2KPF1L3,"5.0
1 rating
5.0 out of 5 stars","#50,614 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,499 in Traditional Laptops",24 April 2024,8.7 x 32.4 x 46.7 Centimeters,1 count,Cosmos Gray,,1 Lithium Polymer batteries required. (included),,52.4 Watt Hours,3,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Any one of the below: 1.Acro Engineering Company C-87 DDA Sheds, Okhla Industrial Area, Phase-1, New Delhi 110020, India 2.Redington (India) Limited “Redington House” Centre Point, Plot Nos. 8 & 11 (SP) Thiru. Vi. Ka, Industrial Estate, Chennai 600032, India 3.Ingram Micro India Private Limited 5th Floor, Empire Plaza, Building A, LBS Marg, Vikhroli West, Mumbai 400083, India 4.World Peace International (India) Private Limited Building No. 26, 2nd Floor, Okhla Phase III, New Delhi 110020, India",Laptop,NVIDIA GeForce RTX 4050,,,,,3200 MHz,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook Go 15 Intel Celeron Dual Core N4020 - (4 GB/256 GB SSD/Windows 11 Home) E510MA-EJ001W Thin and Light Laptop (15.6 Inch, Star Black, 1.57 Kg)","26,990",https://www.amazon.in/ASUS-Vivobook-Intel-Celeron-N4020/dp/B0CRLBTN3P/ref=sr_1_898?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-898&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,ASUS,ASUS INDIA PRIVATE LIMITED,E510MA-EJ001W,,,,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,E510MA-EJ001W,Intel,Celeron N4020,2.8 GHz,4,4 GB,DDR4,8 GB,256 GB,SSD,,Speakers,Intel,Integrated,Shared,4 GB,Integrated,Wi-Fi,1,2,,,PC,Windows 11 Home,,"LAPTOP, POWER ADAPTER, USER GUIDE",,1 kg 570 g,B0CRLBTN3P,"1.0
1 rating
1.0 out of 5 stars","#41,026 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,175 in Traditional Laptops",9 January 2024,,1.00 count,Star Black,46.1 x 29.8 x 6.4 cm; 1.57 kg,,1,,,ASUS INDIA PRIVATE LIMITED,,Business Laptop,Intel UHD Graphics,5 Volts,,,,2.8 GHz,Solid State,,,,,,,,,,,,,,,,,,,,,,,
"HP Envy x360, AMD Ryzen 5 7530U, 16GB LPDDR5, 512GB SSD, (Win 11, Office21, Black, 2.14kg), IPS, Touchscreen, 15.6-inch (39.6cm), FHD Laptop, AMD Radeon Graphics, 5MP IR Camera, Backlit KB, fh0015AU","74,990",https://www.amazon.in/HP-15-6-inch-Laptop-Graphics-15-fh0015AU/dp/B0CGDWDV4Q/ref=sr_1_889?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-889&xpid=l6aOfYazqNBF_,2025-01-23 20:41:19,HP,HP,15-fh0015AU,Convertible,,,39.6 Centimetres,1920 x 1080 pixel,1920 x 1080 Pixels,,15-fh0015AU,AMD,Ryzen 5,4.5 GHz,1,16 GB,Lpddr 5,16 GB,512 GB,SSD,,"Headphones, Speakers",AMD,Integrated,VRAM,,Integrated,"Bluetooth, Wi-Fi",,2,,,PC,Windows 11 Home,Yes,"Laptop, Power Adapter, User Manual, Pen",,2 kg 100 g,B0CGDWDV4Q,"4.0
482 ratings
4.0 out of 5 stars","#39,075 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,110 in Traditional Laptops",22 August 2023,,1 Count,black,54.7 x 30.2 x 7.1 cm; 2.1 kg,1 Lithium Ion batteries required. (included),1,55 Watt Hours,4,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,Laptop,AMD Radeon Graphics,240 Volts,,3 Hours,DDR4 SDRAM,3.1 GHz,,,,Audio by B&O,,,,,,,,,,,,,,,,,,,,
