title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Computer Memory Type,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Hard Drive Interface,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Wireless Type,tech_Number of USB 3.0 Ports,tech_Number of HDMI Ports,tech_Voltage,tech_Wattage,tech_Operating System,tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_Resolution,tech_Memory Clock Speed,tech_Audio Details,tech_Speaker Description,tech_Number of USB 2.0 Ports,tech_Optical Drive Type,tech_Power Source,tech_Hardware Platform,tech_Package Dimensions,tech_Average Battery Standby Life (in hours),tech_Hard Disk Rotational Speed,tech_Number of Lithium Metal Cells,tech_Lithium Battery Weight,tech_Rear Webcam Resolution,tech_Front Webcam Resolution
"Acer Nitro V Gaming Laptop 13th Gen Intel Core i5-13420H with RTX 4050 Graphics, (16GB DDR5/512GB SSD/Windows 11 Home/Wi-Fi 6),15.6""(39.6cms) FHD ANV15-51","75,990",https://www.amazon.in/Acer-i5-13420H-Graphics-Display-ANV15-51/dp/B0CHJJZ9G8/ref=sr_1_169?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-169&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,Acer,Acer,ANV15-51,Black,Gaming,50.4 Centimeters,7.2 Centimeters,15.6 Inches,1920 x 1080 pixel,50.4 x 7.2 x 50.4 cm; 2.1 kg,1 Lithium Ion batteries required. (included),UN.QN8SI.001,Intel,Core i5,3.4 GHz,1,16 GB,DDR5,DDR5 RAM,32 GB,512 GB,SSD,Solid State,NVIDIA GeForce RTX 4050,NVIDIA,Dedicated,GDDR6,6 GB,AGP,Wi-Fi,Bluetooth,3,1,240 Volts,57 Watts,Windows 11 Home,5 Hours,Yes,57 Watt Hours,4,"Battery, Adaptor, Laptop",China,2 kg 100 g,B0CHJJZ9G8,"4.1
538 ratings
4.1 out of 5 stars","#6,543 in Computers & Accessories (See Top 100 in Computers & Accessories)
#216 in Traditional Laptops",07-Sep-23,"Compal Electronics Pvt Ltd, No.D01, Zone D, Air Port Section of LiangLu CunTan Free Trade Port Area, YuBei District, Chongqing, China","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13 Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",50.4 x 7.2 x 50.4 Centimeters,1 Piece,Laptops,,,,,,,,,,,,,,,
"ASUS Vivobook S 15 OLED (2023), Intel Core EVO i5-13500H 13th Gen, 15.6"" (39.62 cm) 2.8K 120Hz OLED, Thin & Light Laptop (16GB/512GB SSD/Iris Xe/Win 11/Office 2021/75WHr/Blue/1.7 kg) S5504VA-MA541WS","75,990",https://www.amazon.in/ASUS-Vivobook-i5-13500H-Laptop-S5504VA-MA541WS/dp/B0BSDZY5FV/ref=sr_1_170?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-170&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,ASUS,ASUS,Vivobook S 15 OLED (2023),"Blue, With Offer",Ultra-Portable,6 Centimeters,14.5 Centimeters,15.6 Inches,2880 x 1800,15 x 14.5 x 6 cm; 1.7 kg,1 Lithium Ion batteries required. (included),S5504VA-MA541WS,Intel,Core i5,4.7 GHz,12,16 GB,Lpddr 5,SDRAM,16 GB,512 GB,SSD,PCIE x 4,Intel Iris Xe Graphics,Intel,Integrated,Shared,16 GB,Integrated,"Bluetooth, Wi-Fi","Bluetooth, 802.11ax",2,1,19 Volts,90 Watts,Windows 11 Home,8 Hours,Yes,75 Watt Hours,4,"Laptop, User Manual, 90W AC Adapter",China,1 kg 700 g,B0BSDZY5FV,"3.4
36 ratings
3.4 out of 5 stars","#10,280 in Computers & Accessories (See Top 100 in Computers & Accessories)
#337 in Traditional Laptops",05-Apr-23,"TECH FRONT ( CHONGQING) Computer Co. Ltd, NO 18 , Zongbao Road, Shapingba Dist,Chongquing, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme Chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",15 x 14.5 x 6 Centimeters,1 Count,Laptop,2880 x 1800 Pixels,4800 MHz,"Headphones, Speakers","Smart Amp Technology, Built-in speaker, Built-in array microphone, harman/kardon (Mainstream)",1,No,ac,PC,,,,,,,
"HP Chromebook (2024) MediaTek MT8183 - (4 GB/32 GB EMMC Storage/Chrome OS) 11MK G9 EE Chromebook (11.6 Inch, Black, 1.34 Kg)","12,990",https://www.amazon.in/HP-Chromebook-MediaTek-MT8183-Storage/dp/B0DBLRLL9B/ref=sr_1_171?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-171&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,HP,Compal Information CO LTD,11MK G9,Black,Chromebook,,,11.6 Inches,1366 x 768 pixels,,1 Lithium Ion batteries required. (included),11MK G9 EE,MediaTek,MediaTek MT8183,2 GHz,1,4,LPDDR4X,DDR4 SDRAM,4 GB,32 GB,Emmc,Solid State,MediaTek Integrated ARM Mali G72 MP3 Graphics,MediaTek,Integrated,Shared,4 GB,Integrated,Wi-Fi,802.11n,,,24 Volts,,Chrome OS,15 Hours,Yes,2.6 Watt Hours,4,"LAPTOP, POWER ADAPTER, USER GUIDE",,1 kg 340 g,B0DBLRLL9B,"2.6
8 ratings
2.6 out of 5 stars","#5,700 in Computers & Accessories (See Top 100 in Computers & Accessories)
#186 in Traditional Laptops",30-Jul-24,HP INDIA PRIVATE LIMITED,HP INDIA PRIVATE LIMITED,,1 Count,Chromebook Laptop,1366 x 768 Pixels,2 GHz,"Headphones, Speakers",,1,,,,46.6 x 32.2 x 7.6 cm; 1.34 kg,15 Hours,,,,,
(Refurbished) HP 14s 10th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/1TB HDD+256 SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel UHD Graphics),"27,499",https://www.amazon.in/Refurbished-HP-Laptop-Windows-Graphics/dp/B0DMZT16QX/ref=sr_1_172?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-172&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,HP,HP,HP 14s,,,,,14 Inches,,,1 12V batteries required. (included),,Intel,Intel Core i5,1.6 GHz,1,,DDR4,,16 GB,,HDD,,,Intel,Integrated,Shared,,,,,,,,,Windows,,Yes,55 Watt Hours,3,"Laptop, Power Cord, Battery",,1 kg 700 g,B0DMZT16QX,"4.0
3 ratings
4.0 out of 5 stars","#6,423 in Computers & Accessories (See Top 100 in Computers & Accessories)
#16 in Best Offers from Renewed
#212 in Traditional Laptops",14-Nov-24,,,,1.00 count,,1366 x 768 Pixels,,,,,,,,45 x 35 x 15 cm; 1.7 kg,,,,,,
"Acer Travelmate Business Laptop Intel Core i7-1165G7 Processor (Windows 11 Home/16 GB DDR4/512 GB SSD/Intel Iris Xe Graphics) TMP214-53 with 35.56 cm (14"") Full HD Display","39,990",https://www.amazon.in/Acer-Travelmate-i7-1165G7-Processor-TMP214-53/dp/B0CHRNZ37L/ref=sr_1_173?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-173&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,Acer,Acer,TMP214-53,"Black, Ci7/16GB/512GB",Laptop,,,14 Inches,1920 x 1080 pixels,,1 Lithium Ion batteries required. (included),,Intel,Core i7,1.2 GHz,1,16 GB,DDR4,DDR4 SDRAM,32 GB,,SSD,Solid State,Intel Iris Xe Graphics,Intel,Integrated,DRAM,,Integrated,Wi-Fi,Bluetooth,,,240 Volts,,Windows 11 Home,,Yes,,3,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",China,1 kg 600 g,B0CHRNZ37L,"3.2
20 ratings
3.2 out of 5 stars","#5,069 in Computers & Accessories (See Top 100 in Computers & Accessories)
#160 in Traditional Laptops",11-Sep-23,"ACER INDIA (PRIVATE) LTD, R.S. no 38/2, Sederapet Village,Villianur Commune,Puducherry-605111","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13 Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",,1 Count,laptop,1920 x 1080 Pixels,,Speakers,,,,,,46.29 x 30 x 7.8 cm; 1.6 kg,,5400 RPM,3,,,
"HP Laptop 15s, 12th Gen Intel Core i3-1215U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel UHD Graphics, 720p HD Camera, Anti-Glare Screen, Thin & Light (Win 11, Silver, 1.69 kg), fy5004TU","37,799",https://www.amazon.in/HP-i3-1215U-15-6-inch-Graphics-Speakers/dp/B0C9DDQ1WN/ref=sr_1_174?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-174&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,HP,HP,HP Laptop,Natural Silver,Netbook,52.1 Centimeters,6.9 Centimeters,39.6 Centimetres,1920 x 1080 pixels,52.1 x 6.9 x 52.1 cm; 1.69 kg,1 Lithium Ion batteries required. (included),15s-fy5004TU,Intel,Intel Core i3,4.4 GHz,1,16 GB,DDR4,,16 GB,512 GB,SSD,,Intel UHD Graphics,Intel,Integrated,VRAM,,Integrated,"Bluetooth, Wi-Fi",,3,,41 Volts,,Windows 11 Home,,Yes,41 Watt Hours,3,"Laptop, Power Adapter, User Manual",China,1 kg 690 g,B0C9DDQ1WN,"3.9
47 ratings
3.9 out of 5 stars","#5,316 in Computers & Accessories (See Top 100 in Computers & Accessories)
#169 in Traditional Laptops",10-Jul-23,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,52.1 x 6.9 x 52.1 Centimeters,1 Count,Laptop,1920 x 1080 Pixels,3200 MHz,"Headphones, Speakers",Dual speakers,,,,PC,,,,,,,
"Lenovo IdeaPad Slim 3 Core i5 13420H (16GB RAM/512GB SSD/15.6"" (39.6cm)/Integrated Intel UHD Graphics/Windows 11/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 83EM00H0IN Laptop","58,990",https://www.amazon.in/Lenovo-IdeaPad-Integrated-Graphics-83EM00H0IN/dp/B0DPWRX9V6/ref=sr_1_175?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-175&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,Lenovo,Lenovo,IdeaPad Slim 3,Arctic Grey,Thin & Light,,,15.6 Inches,1920 x 1080 pixels,,1 D batteries required. (included),15IRH8,Intel,Intel Core i5,2.1 GHz,8,,Lpddr 5,DDR5 RAM,16 GB,512 GB,SSD,PCIE x 4,Intel UHD Graphics,AMD,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",,3,,,,Windows 11 Home,12 Hours,Yes,47 Watt Hours,4,"User Guide, Laptop, Power Adapter",China,1 kg 620 g,B0DPWRX9V6,,"#9,647 in Computers & Accessories (See Top 100 in Computers & Accessories)
#317 in Traditional Laptops",09-Dec-24,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",,1 Piece,Laptop,1920 x 1080 Pixels,,"Headphones, Speakers","User-facing stereo speakers, 1.5W x2, optimized with Dolby Audio",,No Optical Drive,,,49.4 x 36.6 x 7.8 cm; 1.62 kg,,,,,,
"(Refurbished) Dell Latitude E5470 6th Gen Intel Core i5 Thin & Light HD Laptop (10 GB DDR4 RAM|256 GB SSD|14"" (35.6 cm) HD|Windows 11|MS Office|WiFi|BT|Intel HD Graphics)","14,999",https://www.amazon.in/Refurbished-Dell-Latitude-Windows-Graphics/dp/B0DSLPBGRZ/ref=sr_1_176?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-176&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,Dell,Dell,Dell Latitude,,,,,14 Inches,,,1 12V batteries required. (included),,Intel,Intel Core i5,2.3 GHz,1,,DDR4,,16 GB,,SSD,,,Intel,Integrated,Shared,,,,,,1,,,Windows,,Yes,55 Watt Hours,3,"Laptop, Power Cord, Battery",,1 kg 700 g,B0DSLPBGRZ,,"#6,288 in Computers & Accessories (See Top 100 in Computers & Accessories)
#205 in Traditional Laptops",09-Jan-25,,,,1.00 count,,1366 x 768 Pixels,,,,,,,,45 x 35 x 15 cm; 1.7 kg,,,,,,
"(Refurbished) Dell Latitude E7470 6th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM|256 GB SSD|14"" (35.6 cm) HD|Windows 11|MS Office|WiFi|BT|Intel HD Graphics)","17,999",https://www.amazon.in/Refurbished-Dell-Latitude-Windows-Graphics/dp/B0DPH9FJGZ/ref=sr_1_177?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-177&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,Dell,Dell,Dell Latitude,,,,,14 Inches,,,1 12V batteries required. (included),,Intel,Intel Core i5,2.4 GHz,1,,DDR4,,16 GB,,SSD,,,Intel,Integrated,Shared,,,,,,,,,Windows,,Yes,55 Watt Hours,3,"Laptop, Power Cord, Battery",,1 kg 700 g,B0DPH9FJGZ,,"#5,132 in Computers & Accessories (See Top 100 in Computers & Accessories)
#166 in Traditional Laptops",03-Dec-24,,,,1.00 count,,1366 x 768 Pixels,,,,,,,,45 x 35 x 15 cm; 1.7 kg,,,,,,
"HP 15s, Intel Core i3-1215, 8GB DDR4, 512GB SSD, 15.6-inch (39.6cm), Anti-Glare, FHD Laptop, Intel UHD Graphics, HD Camera, Dual Speakers (Win 11, Office 21, Silver, 1.69kg) fy5003TU","36,490",https://www.amazon.in/HP-i3-1215U-Graphics-Numeric-15s-fy5003TU/dp/B0C3D81MJG/ref=sr_1_178?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-178&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,HP,HP,HP Laptop,Natural Silver,Netbook,,,39.6,1920 x 1080 pixels,,1 Lithium Ion batteries required. (included),15s-fy5003TU,Intel,Core i3,4.4,1,8 GB,DDR4,,16 GB,512 GB,SSD,,Intel UHD Graphics,Intel,Integrated,VRAM,,Integrated,"Bluetooth, Wi-Fi",,2,1,,,Windows 11 Home,,Yes,41 Watt Hours,3,"Laptop, Power Adapter, User Manual",,1 kg 690 g,B0C3D81MJG,"4.2
6 ratings
4.2 out of 5 stars","#8,941 in Computers & Accessories (See Top 100 in Computers & Accessories)
#288 in Traditional Laptops",24-Apr-23,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",,1 Count,Laptop,,3200 GHz,"Headphones, Speakers",Dual speakers,,,,,52.2 x 31.8 x 6.6 cm; 1.69 kg,,,,,,
